recid,reit,smrt,tog_nr,dag,man,dyp_min,dyp_max,vf,nr,le,ky,kt,aldur,osl,sl,li
100000,475,4,13,07,03,201,202,73,1,56,2,1,4,1383,1294,25
100000,475,4,13,07,03,201,202,73,11,42,1,1,3,633,582,12
100000,475,4,13,07,03,201,202,73,12,42,1,1,3,513,488,7
100000,475,4,13,07,03,201,202,73,13,42,2,1,3,701,643,22
100000,475,4,13,07,03,201,202,73,14,49,1,1,3,910,842,16
100000,475,4,13,07,03,201,202,73,15,64,1,2,5,2153,1748,110
100000,475,4,13,07,03,201,202,73,16,62,1,1,5,1568,1519,38
100000,475,4,13,07,03,201,202,73,17,57,1,1,5,1713,1469,38
100000,475,4,13,07,03,201,202,73,18,63,2,1,5,1874,1629,145
100000,475,4,13,07,03,201,202,73,19,47,2,1,3,870,814,19
100000,475,4,13,07,03,201,202,73,2,62,1,2,5,1972,1534,146
100000,475,4,13,07,03,201,202,73,21,65,1,2,5,2490,2029,139
100000,475,4,13,07,03,201,202,73,22,61,2,1,6,1611,1468,51
100000,475,4,13,07,03,201,202,73,23,55,1,1,4,1243,1161,21
100000,475,4,13,07,03,201,202,73,24,46,1,1,3,757,721,7
100000,475,4,13,07,03,201,202,73,25,43,2,1,3,636,598,8
100000,475,4,13,07,03,201,202,73,3,68,1,2,6,2353,1953,103
100000,475,4,13,07,03,201,202,73,4,55,1,1,4,1314,1228,13
100000,475,4,13,07,03,201,202,73,5,59,2,2,5,1941,1585,240
100000,475,4,13,07,03,201,202,73,6,66,1,1,5,2202,1960,139
100000,475,4,13,07,03,201,202,73,7,83,2,4,9,4698,4134,263
100000,475,4,13,07,03,201,202,73,8,55,1,2,5,1317,1052,71
100000,475,4,13,07,03,201,202,73,9,64,1,1,6,1849,1621,155
100001,475,3,2,07,03,183,205,73,1,62,2,1,5,1815,1707,24
100001,475,3,2,07,03,183,205,73,10,60,1,2,6,1874,1614,41
100001,475,3,2,07,03,183,205,73,11,63,2,1,5,2135,1958,63
100001,475,3,2,07,03,183,205,73,2,45,2,1,3,783,739,14
100001,475,3,2,07,03,183,205,73,3,51,2,1,3,1035,958,15
100001,475,3,2,07,03,183,205,73,4,61,1,1,5,1764,1595,19
100001,475,3,2,07,03,183,205,73,5,73,1,2,6,2837,2345,107
100001,475,3,2,07,03,183,205,73,6,68,2,1,5,2455,2285,35
100001,475,3,2,07,03,183,205,73,7,59,2,2,5,1691,1588,16
100001,475,3,2,07,03,183,205,73,8,45,1,1,3,695,656,15
100001,475,3,2,07,03,183,205,73,9,60,2,1,5,1632,1529,29
100002,475,1,3,07,03,163,176,73,1,88,2,2,7,5838,4744,444
100002,475,1,3,07,03,163,176,73,3,87,2,2,7,5280,4582,175
100002,475,1,3,07,03,163,176,73,4,61,2,1,6,1772,1677,22
100002,475,1,3,07,03,163,176,73,5,71,1,2,6,3084,2434,146
100002,475,1,3,07,03,163,176,73,6,29,1,1,2,230,202,5
100003,476,2,3,07,03,175,172,73,1,67,2,2,6,2603,2195,181
100003,476,2,3,07,03,175,172,73,2,46,1,1,3,890,807,12
100003,476,2,3,07,03,175,172,73,3,69,1,2,5,2585,2244,73
100003,476,2,3,07,03,175,172,73,4,42,2,1,3,630,596,6
100003,476,2,3,07,03,175,172,73,5,81,2,2,6,4522,3816,242
100004,476,2,2,07,03,162,163,73,1,70,2,2,9,3158,2629,141
100004,476,2,2,07,03,162,163,73,2,45,2,1,3,790,733,12
100004,476,2,2,07,03,162,163,73,3,56,2,2,5,1648,1383,70
100005,476,1,12,07,03,196,217,73,1,82,2,1,6,4526,3890,79
100005,476,1,12,07,03,196,217,73,10,42,2,1,3,583,530,12
100005,476,1,12,07,03,196,217,73,11,42,1,1,3,602,562,9
100005,476,1,12,07,03,196,217,73,2,65,2,1,5,1804,1656,51
100005,476,1,12,07,03,196,217,73,3,73,2,1,6,2601,2357,47
100005,476,1,12,07,03,196,217,73,4,65,1,2,5,2850,2139,253
100005,476,1,12,07,03,196,217,73,5,59,1,2,5,1607,1448,23
100005,476,1,12,07,03,196,217,73,6,47,1,1,3,1014,924,14
100005,476,1,12,07,03,196,217,73,7,63,1,1,5,1842,1626,41
100005,476,1,12,07,03,196,217,73,8,62,1,1,6,1902,1668,120
100005,476,1,12,07,03,196,217,73,9,41,2,1,3,563,525,8
100006,477,2,11,07,03,374,393,73,1,68,1,1,5,1982,1781,118
100006,477,2,11,07,03,374,393,73,2,67,1,1,6,2244,1994,142
100007,476,2,1,07,03,193,198,73,1,65,2,2,5,2273,2017,91
100007,476,2,1,07,03,193,198,73,2,69,1,2,7,2414,2153,128
100007,476,2,1,07,03,193,198,73,3,66,2,1,6,2088,1907,67
100007,476,2,1,07,03,193,198,73,5,44,2,1,3,678,626,7
100007,476,2,1,07,03,193,198,73,6,58,2,1,4,1642,1486,50
100007,476,2,1,07,03,193,198,73,7,73,1,2,7,3438,2756,306
100007,476,2,1,07,03,193,198,73,8,74,1,5,6,3120,2841,31
100007,476,2,1,07,03,193,198,73,9,78,1,2,6,3756,2967,254
100008,476,2,11,08,03,178,177,73,1,47,2,1,3,878,751,9
100008,476,2,11,08,03,178,177,73,2,54,1,2,5,1605,1254,43
100008,476,2,11,08,03,178,177,73,3,57,2,2,4,1615,1428,61
100008,476,2,11,08,03,178,177,73,4,70,2,2,6,3568,2924,146
100008,476,2,11,08,03,178,177,73,5,71,1,2,6,3248,2635,197
100008,476,2,11,08,03,178,177,73,6,64,2,2,5,2339,2029,89
100010,475,3,1,08,03,217,235,73,1,62,2,1,6,1889,1749,10
100010,475,3,1,08,03,217,235,73,10,43,1,1,3,717,675,14
